"","지역","건축.연도","평당가격"
"807","구로구",2004,3214.15254237288
"808","금천구",2004,3186.39784946237
"809","노원구",2004,3079.80141843972
"810","도봉구",2004,3052.3630952381
"811","동대문구",2004,3098.6652360515
"812","동작구",2004,3315.37931034483
"813","마포구",2004,3160.05882352941
"814","서대문구",2004,3145.75362318841
"815","서초구",2004,2976.51612903226
"816","성동구",2004,3365.32394366197
"817","성북구",2004,3247.225
"818","송파구",2004,2944.96721311475
"819","양천구",2004,3013.36893203883
"820","용산구",2004,3671.71768707483
"821","은평구",2004,3097.55147058824
"822","종로구",2004,3264.50413223141
"823","중구",2004,3553.99248120301
"824","중랑구",2004,3386.72427983539
"825","강남구",2005,3229.70731707317
"826","강동구",2005,2880.4375
"827","강북구",2005,3329.77669902913
"828","강서구",2005,3232.35714285714
"829","관악구",2005,3537.64814814815
"830","광진구",2005,3646.93277310924
"831","구로구",2005,3542.88732394366
"832","금천구",2005,3225.26530612245
"833","노원구",2005,3192.60784313725
"834","도봉구",2005,3421.12
"835","동대문구",2005,3688.21487603306
"836","동작구",2005,3122.38
"837","마포구",2005,3627.48888888889
"838","서대문구",2005,3410.33684210526
"839","서초구",2005,3397.92307692308
"840","성동구",2005,4120.925
"841","성북구",2005,3194.13392857143
"842","송파구",2005,3067.69444444444
"843","양천구",2005,3531.10112359551
"844","용산구",2005,4449.24561403509
"845","은평구",2005,3241.31395348837
"846","종로구",2005,4875.86029411765
"847","중구",2005,4489.06451612903
"848","중랑구",2005,3651.66666666667
"849","강남구",2006,2958.15384615385
"850","강동구",2006,4666.5
"851","강북구",2006,3346.65853658537
"852","강서구",2006,4285.61538461538
"853","관악구",2006,3801.67567567568
"854","광진구",2006,3859.22093023256
"855","구로구",2006,3982.34782608696
"856","금천구",2006,4489.50909090909
"857","노원구",2006,3550.53846153846
"858","도봉구",2006,3526.70512820513
"859","동대문구",2006,3518.95744680851
"860","동작구",2006,3839.44680851064
"861","마포구",2006,3649.27083333333
"862","서대문구",2006,3468.67272727273
"863","서초구",2006,3260.89743589744
"864","성동구",2006,4345.15306122449
"865","성북구",2006,3253.39024390244
"866","송파구",2006,3209.76923076923
"867","양천구",2006,4127.57627118644
"868","용산구",2006,4053.70731707317
"869","은평구",2006,3059.5593220339
"870","종로구",2006,4760.42441860465
"871","중구",2006,4617.66666666667
"872","중랑구",2006,3789.17142857143
"873","강남구",2007,3466.92307692308
"874","강동구",2007,3627.06896551724
"875","강북구",2007,4069.17857142857
"876","강서구",2007,4404.53191489362
"877","관악구",2007,3712.67741935484
"878","광진구",2007,4519.45070422535
"879","구로구",2007,3975
"880","금천구",2007,4059.125
"881","노원구",2007,4002.50943396226
"882","도봉구",2007,4338.64556962025
"883","동대문구",2007,4491.8829787234
"884","동작구",2007,3752.59574468085
"885","마포구",2007,4375.43076923077
"886","서대문구",2007,3733.10606060606
"887","서초구",2007,3987.10256410256
"888","성동구",2007,4470.775
"889","성북구",2007,4427.80597014925
"890","송파구",2007,3778.82142857143
"891","양천구",2007,3785.77083333333
"892","용산구",2007,4848.88764044944
"893","은평구",2007,4308.86440677966
"894","종로구",2007,4661.20634920635
"895","중구",2007,4797.11111111111
"896","중랑구",2007,4642.75362318841
"897","강남구",2008,5077.9
"898","강동구",2008,5353.30769230769
"899","강북구",2008,4702.0380952381
"900","강서구",2008,4452.37704918033
"901","관악구",2008,4958.93181818182
"902","광진구",2008,5318.4
"903","구로구",2008,4504.55714285714
"904","금천구",2008,3778.57692307692
"905","노원구",2008,4552.51724137931
"906","도봉구",2008,4513.93548387097
"907","동대문구",2008,5414.42608695652
"908","동작구",2008,4726.98507462687
"909","마포구",2008,4271.32
"910","서대문구",2008,4453.35897435897
"911","서초구",2008,3007.69565217391
"912","성동구",2008,5982.94488188976
"913","성북구",2008,4962.46666666667
"914","송파구",2008,4535.27777777778
"915","양천구",2008,4188.67213114754
"916","용산구",2008,7068.58653846154
"917","은평구",2008,5173.43333333333
"918","종로구",2008,6189.82608695652
"919","중구",2008,7588.5487804878
"920","중랑구",2008,4605.22727272727
"921","강남구",2009,6473.92857142857
"922","강동구",2009,6941.46153846154
"923","강북구",2009,4494.03947368421
"924","강서구",2009,5187.78787878788
"925","관악구",2009,4779.63636363636
"926","광진구",2009,4016.70588235294
"927","구로구",2009,4474.30769230769
"928","금천구",2009,4318.75
"929","노원구",2009,5715.57894736842
"930","도봉구",2009,5773.58426966292
"931","동대문구",2009,3803.05714285714
"932","동작구",2009,5808.89655172414
"933","마포구",2009,4221.28070175439
"934","서대문구",2009,4981.67164179104
"935","서초구",2009,5691.91428571429
"936","성동구",2009,4432.69047619048
"937","성북구",2009,4466.5
"938","송파구",2009,6537.125
"939","양천구",2009,5473.4
"940","용산구",2009,4681.5625
"941","은평구",2009,5952.46268656716
"942","종로구",2009,3699.48611111111
"943","중구",2009,3872.18333333333
"944","중랑구",2009,4093.5
"945","강남구",2010,3945.22222222222
"946","강동구",2010,6180.33333333333
"947","강북구",2010,4007.390625
"948","강서구",2010,3783.57446808511
"949","관악구",2010,3664.35483870968
"950","광진구",2010,3708.17543859649
"951","구로구",2010,3647.54901960784
"952","금천구",2010,3750.23529411765
"953","노원구",2010,4187.81818181818
"954","도봉구",2010,4125.75
"955","동대문구",2010,3878.66666666667
"956","동작구",2010,4127.8
"957","마포구",2010,4023.30882352941
"958","서대문구",2010,3723.11363636364
"959","서초구",2010,3224.05
"960","성동구",2010,4288.43055555556
"961","성북구",2010,4022.40579710145
"962","송파구",2010,4381.11111111111
"963","양천구",2010,3993.5
"964","용산구",2010,4217.77777777778
"965","은평구",2010,4288.30188679245
"966","종로구",2010,4057.16153846154
"967","중구",2010,4427.6301369863
"968","중랑구",2010,3858.73770491803
"969","강남구",2011,3675.65217391304
"970","강동구",2011,3574.83333333333
"971","강북구",2011,5038.42372881356
"972","강서구",2011,4624.3
"973","관악구",2011,3895.93333333333
"974","광진구",2011,4397.86585365854
"975","구로구",2011,3726.88461538462
"976","금천구",2011,4497
"977","노원구",2011,4505.13043478261
"978","도봉구",2011,4512.19047619048
"979","동대문구",2011,4724.74736842105
"980","동작구",2011,4929.87878787879
"981","마포구",2011,5522.85714285714
"982","서대문구",2011,4455.78048780488
"983","서초구",2011,3926.1875
"984","성동구",2011,4662.22222222222
"985","성북구",2011,5196.98245614035
"986","송파구",2011,3584.47368421053
"987","양천구",2011,4601.08695652174
"988","용산구",2011,4112.72815533981
"989","은평구",2011,4071.61904761905
"990","종로구",2011,4152.12244897959
"991","중구",2011,4088.65178571429
"992","중랑구",2011,4977.56756756757
"993","강남구",2012,3944.3
"994","강동구",2012,5405
"995","강북구",2012,4283.58620689655
"996","강서구",2012,4693.63829787234
"997","관악구",2012,4059.72727272727
"998","광진구",2012,4166.27710843373
"999","구로구",2012,3582.2962962963
"1000","금천구",2012,4461.65
"1001","노원구",2012,3975.31884057971
"1002","도봉구",2012,4077.30120481928
"1003","동대문구",2012,4898.5
"1004","동작구",2012,4561.57692307692
"1005","마포구",2012,4522.95454545455
"1006","서대문구",2012,4750.88524590164
"1007","서초구",2012,4587.18181818182
"1008","성동구",2012,4092.25925925926
"1009","성북구",2012,4745.89908256881
"1010","송파구",2012,4694.52941176471
"1011","양천구",2012,4805.29032258064
"1012","용산구",2012,4052.15094339623
"1013","은평구",2012,4390.47540983607
"1014","종로구",2012,3494.80769230769
"1015","중구",2012,4021.21951219512
"1016","중랑구",2012,4879.04109589041
"1017","강남구",2013,4378.46666666667
"1018","강동구",2013,3915.75
"1019","강북구",2013,3767.62903225806
"1020","강서구",2013,3964.6
"1021","관악구",2013,4449.44444444444
"1022","광진구",2013,4280.6724137931
"1023","구로구",2013,5180.5
"1024","금천구",2013,4100.28
"1025","노원구",2013,3309.08695652174
"1026","도봉구",2013,3579.10714285714
"1027","동대문구",2013,3850.125
"1028","동작구",2013,4101.6
"1029","마포구",2013,4137.50980392157
"1030","서대문구",2013,4582.65573770492
"1031","서초구",2013,4675.91666666667
"1032","성동구",2013,4045.44594594595
"1033","성북구",2013,3661.5
"1034","송파구",2013,4602.07692307692
"1035","양천구",2013,3700.46666666667
"1036","용산구",2013,3863.74468085106
"1037","은평구",2013,4369.90769230769
"1038","종로구",2013,3346.73255813953
"1039","중구",2013,3326.12068965517
"1040","중랑구",2013,3698.83908045977
"1041","강남구",2014,4465.86206896552
"1042","강동구",2014,4462.46875
"1043","강북구",2014,3792.38372093023
"1044","강서구",2014,4589.14893617021
"1045","관악구",2014,4482.84
"1046","광진구",2014,4366.35483870968
"1047","구로구",2014,4474.55737704918
"1048","금천구",2014,4969.2037037037
"1049","노원구",2014,4415.28985507246
"1050","도봉구",2014,3975.2619047619
"1051","동대문구",2014,4075.90654205607
"1052","동작구",2014,3782.88888888889
"1053","마포구",2014,4230.21951219512
"1054","서대문구",2014,4072.60377358491
"1055","서초구",2014,4724.18918918919
"1056","성동구",2014,4526.01785714286
"1057","성북구",2014,4396.02816901408
"1058","송파구",2014,4083
"1059","양천구",2014,4670.51515151515
"1060","용산구",2014,5095.05747126437
"1061","은평구",2014,4488.40625
"1062","종로구",2014,5202.45
"1063","중구",2014,5249.20979020979
"1064","중랑구",2014,4168.78409090909
"1065","강남구",2015,3583
"1066","강동구",2015,5716.55555555556
"1067","강북구",2015,4370.18518518519
"1068","강서구",2015,4798.83333333333
"1069","관악구",2015,5287.5
"1070","광진구",2015,4120.26829268293
"1071","구로구",2015,4846.53571428571
"1072","금천구",2015,5004.44444444444
"1073","노원구",2015,4498.02325581395
"1074","도봉구",2015,4252.11904761905
"1075","동대문구",2015,4306.8125
"1076","동작구",2015,4257.07142857143
"1077","마포구",2015,4460.125
"1078","서대문구",2015,4899.32352941176
"1079","서초구",2015,4595.5
"1080","성동구",2015,4678
"1081","성북구",2015,4788.37142857143
"1082","송파구",2015,4859.88888888889
"1083","양천구",2015,4902.25
"1084","용산구",2015,4726.9512195122
"1085","은평구",2015,4518.97435897436
"1086","종로구",2015,3974.1724137931
"1087","중구",2015,4383.17391304348
"1088","중랑구",2015,4067.33333333333
"1089","강남구",2016,5566.05
"1090","강동구",2016,4880
"1091","강북구",2016,6222.0625
"1092","강서구",2016,6438.95
"1093","관악구",2016,6838.22222222222
"1094","광진구",2016,4583.94444444444
"1095","구로구",2016,7590.15
"1096","금천구",2016,5695.56
"1097","노원구",2016,5987.86274509804
"1098","도봉구",2016,7176.34090909091
"1099","동대문구",2016,5527.06896551724
"1100","동작구",2016,7946.29411764706
"1101","마포구",2016,5225.0487804878
"1102","서대문구",2016,6203.35555555556
"1103","서초구",2016,6639.42105263158
"1104","성동구",2016,4177
"1105","성북구",2016,4853.40476190476
"1106","송파구",2016,5643.2
"1107","양천구",2016,4912.11111111111
"1108","용산구",2016,4544.42
"1109","은평구",2016,6195.54761904762
"1110","종로구",2016,4600.27777777778
"1111","중구",2016,4380
"1112","중랑구",2016,4935.18918918919
"1113","강남구",2017,5625.25
"1114","강동구",2017,5079.85714285714
"1115","강북구",2017,4916.83333333333
"1116","강서구",2017,5293.04761904762
"1117","관악구",2017,3675.6
"1118","광진구",2017,4004.28571428571
"1119","구로구",2017,4494.38888888889
"1120","금천구",2017,4799.6
"1121","노원구",2017,3894.07142857143
"1122","도봉구",2017,4075.27272727273
"1123","동대문구",2017,4916.6
"1124","동작구",2017,6855.66666666667
"1125","마포구",2017,4529.08333333333
"1126","서대문구",2017,4691
"1127","서초구",2017,5867
"1128","성동구",2017,4173.53333333333
"1129","성북구",2017,4589.83333333333
"1130","송파구",2017,5212.18181818182
"1131","양천구",2017,4299.35294117647
"1132","용산구",2017,3728.5
"1133","은평구",2017,4288.40740740741
"1134","종로구",2017,3913.30769230769
"1135","중구",2017,4547.88888888889
"1136","중랑구",2017,4765.7
"1137","강북구",2018,5782.14285714286
"1138","광진구",2018,6404.4
"1139","동대문구",2018,6106.6
"1140","성동구",2018,6487
"1141","성북구",2018,6376.42857142857
"1142","용산구",2018,6511.62068965517
"1143","종로구",2018,7330.66666666667
"1144","중구",2018,6691.88888888889
"1145","중랑구",2018,6434
