"","지역","건축.연도","평당가격"
"182","중랑구",1977,4613.57142857143
"183","강남구",1978,7312.75
"184","강동구",1978,7974.5
"185","강북구",1978,6851.5
"186","강서구",1978,7621.35294117647
"187","관악구",1978,5294.76923076923
"188","광진구",1978,6968.83333333333
"189","구로구",1978,8015.75
"190","금천구",1978,7431.9
"191","노원구",1978,8005.61538461538
"192","도봉구",1978,7229.5
"193","동대문구",1978,6826.58823529412
"194","동작구",1978,6186.33333333333
"195","마포구",1978,5224
"196","서대문구",1978,8238.125
"197","서초구",1978,7083.41666666667
"198","성동구",1978,7001.33333333333
"199","성북구",1978,7875.11764705882
"200","송파구",1978,8484
"201","양천구",1978,5998.27272727273
"202","용산구",1978,7884.52941176471
"203","은평구",1978,7878.33333333333
"204","종로구",1978,8849.21212121212
"205","중구",1978,9388.44
"206","중랑구",1978,8030.14285714286
"207","강남구",1979,7045
"208","강동구",1979,7818.33333333333
"209","강북구",1979,8195.11111111111
"210","강서구",1979,8094.44444444444
"211","관악구",1979,8662.5
"212","광진구",1979,7587.66666666667
"213","구로구",1979,7014
"214","금천구",1979,6319
"215","노원구",1979,8739.76470588235
"216","도봉구",1979,8241.5
"217","동대문구",1979,7380.45454545455
"218","동작구",1979,8080.6
"219","마포구",1979,7938
"220","서대문구",1979,8272.625
"221","서초구",1979,8217.5
"222","성동구",1979,6588.54545454545
"223","성북구",1979,7932.875
"224","송파구",1979,7073
"225","양천구",1979,7950.46153846154
"226","용산구",1979,7290
"227","은평구",1979,8501.4
"228","중구",1979,6218
"229","중랑구",1979,7792.7
"230","강동구",1980,7364
"231","강서구",1980,7077.33333333333
"232","관악구",1980,7498
"233","광진구",1980,8469.83333333333
"234","구로구",1980,7391.25
"235","금천구",1980,6983.8
"236","노원구",1980,8988.5
"237","도봉구",1980,8898.8
"238","동대문구",1980,8742.5
"239","동작구",1980,7500
"240","마포구",1980,5335
"241","서대문구",1980,6869
"242","서초구",1980,6184
"243","성동구",1980,7745.75
"244","성북구",1980,6834.66666666667
"245","양천구",1980,7453.8
"246","용산구",1980,6800.8
"247","은평구",1980,8324.2
"248","종로구",1980,4489.6
"249","중구",1980,8361
"250","중랑구",1980,8182.2
"251","강남구",1981,6792
"252","강북구",1981,8545.91304347826
"253","강서구",1981,9853.17647058824
"254","관악구",1981,2883.5
"255","광진구",1981,4635.64285714286
"256","구로구",1981,9697
"257","금천구",1981,7111.8
"258","노원구",1981,7915.69230769231
"259","도봉구",1981,9753.07142857143
"260","동대문구",1981,7695.94117647059
"261","동작구",1981,8605.25
"262","마포구",1981,10620.5454545455
"263","서대문구",1981,9004.8
"264","서초구",1981,8958.5
"265","성동구",1981,5147.33333333333
"266","성북구",1981,7918.15384615385
"267","송파구",1981,10068.6666666667
"268","양천구",1981,9807.28571428571
"269","용산구",1981,4603.69230769231
"270","은평구",1981,10192.4285714286
"271","종로구",1981,4281.45714285714
"272","중구",1981,4130.39130434783
"273","중랑구",1981,9113.33333333333
"274","강남구",1982,8348
"275","강동구",1982,8862.5
"276","강북구",1982,5696.53333333333
"277","강서구",1982,7204
"278","관악구",1982,6415.4
"279","광진구",1982,5007.4
"280","구로구",1982,7018.75
"281","금천구",1982,6859.07692307692
"282","노원구",1982,6153.11764705882
"283","도봉구",1982,6072.08695652174
"284","동대문구",1982,4574.25
"285","동작구",1982,6483.83333333333
"286","마포구",1982,5494.5
"287","서대문구",1982,5359.63157894737
"288","서초구",1982,5675
"289","성동구",1982,2906
"290","성북구",1982,4883.125
"291","송파구",1982,8262.2
"292","양천구",1982,5997.16666666667
"293","용산구",1982,3603
"294","은평구",1982,5326.39393939394
"295","종로구",1982,2762
"296","중구",1982,2589
"297","중랑구",1982,5668.18181818182
"298","강동구",1983,4755
"299","강북구",1983,7527.02777777778
"300","강서구",1983,5541.4
"301","관악구",1983,5696.66666666667
"302","광진구",1983,7031.61764705882
"303","구로구",1983,3256
"304","금천구",1983,4756.11111111111
"305","노원구",1983,5210.73913043478
"306","도봉구",1983,5216.15
"307","동대문구",1983,6773.20588235294
"308","동작구",1983,4456.42857142857
"309","마포구",1983,5975.27272727273
"310","서대문구",1983,5124.88888888889
"311","서초구",1983,7865.8
"312","성동구",1983,7060.04166666667
"313","성북구",1983,7838.05405405405
"314","송파구",1983,9422.16666666667
"315","양천구",1983,6463.61538461538
"316","용산구",1983,5556.39024390244
"317","은평구",1983,4574
"318","종로구",1983,5336.12765957447
"319","중구",1983,6040.3829787234
"320","중랑구",1983,6320.38461538462
"321","강남구",1984,4498.23529411765
"322","강동구",1984,3464.66666666667
"323","강북구",1984,5668.82608695652
"324","강서구",1984,4398.36842105263
"325","관악구",1984,3279
"326","광진구",1984,4390.57142857143
"327","구로구",1984,3970.75
"328","금천구",1984,4662.2
"329","노원구",1984,5022.23076923077
"330","도봉구",1984,4237.54545454545
"331","동대문구",1984,4390.9696969697
"332","동작구",1984,4284.85714285714
"333","마포구",1984,4454.70833333333
"334","서대문구",1984,3871.48
"335","서초구",1984,5134.42857142857
"336","성동구",1984,6437.26666666667
"337","성북구",1984,4395.34782608696
"338","송파구",1984,4156.8
"339","양천구",1984,4494.84848484848
"340","용산구",1984,5268.1052631579
"341","은평구",1984,4808.3125
"342","종로구",1984,3948.5
"343","중구",1984,4583.6
"344","중랑구",1984,5126.93103448276
"345","강남구",1985,3567.88888888889
"346","강동구",1985,3342.11111111111
"347","강북구",1985,5214.8
"348","강서구",1985,5197.92857142857
"349","관악구",1985,3279.5
"350","광진구",1985,4799.55555555556
"351","구로구",1985,5347.14285714286
"352","금천구",1985,4386
"353","노원구",1985,5186.14285714286
"354","도봉구",1985,3783.77272727273
"355","동대문구",1985,5794.66666666667
"356","동작구",1985,3961.66666666667
"357","마포구",1985,5070.66666666667
"358","서대문구",1985,5128.61290322581
"359","서초구",1985,4132.2
"360","성동구",1985,4797.46153846154
"361","성북구",1985,6281.26315789474
"362","송파구",1985,3249.66666666667
"363","양천구",1985,4564.84615384615
"364","용산구",1985,4824.26666666667
"365","은평구",1985,5435.33333333333
"366","종로구",1985,4731.4347826087
"367","중구",1985,4729.1
"368","중랑구",1985,4984.75
"369","강남구",1986,5745.53846153846
"370","강동구",1986,3535.16666666667
"371","강북구",1986,4979.63157894737
"372","강서구",1986,5926.56097560976
"373","관악구",1986,4676.5652173913
"374","광진구",1986,4217.31168831169
"375","구로구",1986,5419.375
"376","금천구",1986,5253.15789473684
"377","노원구",1986,5116.79365079365
"378","도봉구",1986,4871.05263157895
"379","동대문구",1986,4448.31666666667
"380","동작구",1986,5684.125
"381","마포구",1986,5719.5625
"382","서대문구",1986,5051.97872340426
"383","서초구",1986,3832.66666666667
"384","성동구",1986,4169.55555555556
"385","성북구",1986,4831.64516129032
"386","송파구",1986,3148
"387","양천구",1986,6188.06060606061
"388","용산구",1986,4322.23636363636
"389","은평구",1986,5451.50909090909
"390","종로구",1986,4958.67346938776
"391","중구",1986,4975.47169811321
"392","중랑구",1986,4638.0641025641
"393","강남구",1987,5157.07692307692
"394","강동구",1987,4510.75
"395","강북구",1987,5101.47169811321
"396","강서구",1987,4572.45
"397","관악구",1987,5834.82926829268
"398","광진구",1987,5433.55294117647
"399","구로구",1987,4971.03225806452
"400","금천구",1987,5150.625
"401","노원구",1987,5641.36666666667
"402","도봉구",1987,4912.36
"403","동대문구",1987,5154.06349206349
"404","동작구",1987,4758.97058823529
"405","마포구",1987,4170.94
"406","서대문구",1987,4247.94230769231
"407","서초구",1987,4637.5
"408","성동구",1987,5027.84523809524
"409","성북구",1987,4683.68181818182
"410","송파구",1987,3862.6
"411","양천구",1987,4170.1914893617
"412","용산구",1987,4379.10989010989
"413","은평구",1987,4785.37209302326
"414","종로구",1987,4084.14432989691
"415","중구",1987,4531.87254901961
"416","중랑구",1987,4576.796875
"417","강남구",1988,3988.35443037975
"418","강동구",1988,4218.92708333333
"419","강북구",1988,3595.3417721519
"420","강서구",1988,3945.44230769231
"421","관악구",1988,3804.22727272727
"422","광진구",1988,3492.32307692308
"423","구로구",1988,3704.30630630631
"424","금천구",1988,3822.34523809524
"425","노원구",1988,3777.15966386555
"426","도봉구",1988,3771.3734939759
"427","동대문구",1988,3796.18461538462
"428","동작구",1988,3840.58536585366
"429","마포구",1988,4444.9298245614
"430","서대문구",1988,3998.98319327731
"431","서초구",1988,3673.5632183908
"432","성동구",1988,3939.40740740741
"433","성북구",1988,3582.62857142857
"434","송파구",1988,4088.875
"435","양천구",1988,4335.39423076923
"436","용산구",1988,3741.85106382979
"437","은평구",1988,3440.25471698113
"438","종로구",1988,3572.14130434783
"439","중구",1988,3227.9494949495
"440","중랑구",1988,3949.42307692308
"441","강남구",1989,3385.20588235294
"442","강동구",1989,3347.67857142857
"443","강북구",1989,3848.75
"444","강서구",1989,3574.44444444444
"445","관악구",1989,3440.75757575758
"446","광진구",1989,3324.61764705882
"447","구로구",1989,3368.58333333333
"448","금천구",1989,3270.93617021277
"449","노원구",1989,4085.96610169492
"450","도봉구",1989,3674.91428571429
"451","동대문구",1989,3891.19444444444
"452","동작구",1989,2909.85185185185
"453","마포구",1989,3607.16981132075
"454","서대문구",1989,3831.81034482759
"455","서초구",1989,3580.38461538462
"456","성동구",1989,3846.56756756757
"457","성북구",1989,3840.89189189189
"458","송파구",1989,3748.09523809524
"459","양천구",1989,3734.70491803279
"460","용산구",1989,4481.29032258064
"461","은평구",1989,4035.80882352941
"462","종로구",1989,2784.25
"463","중구",1989,3982.04545454545
"464","중랑구",1989,3359.27906976744
"465","강남구",1990,3820.85714285714
"466","강동구",1990,3588.8
"467","강북구",1990,3983.10344827586
"468","강서구",1990,3715.35294117647
"469","관악구",1990,3692.75
"470","광진구",1990,3745.53333333333
"471","구로구",1990,3508.91666666667
"472","금천구",1990,3352.78571428571
"473","노원구",1990,3445.11111111111
"474","도봉구",1990,3678.69696969697
"475","동대문구",1990,3416.69696969697
"476","동작구",1990,3308.72222222222
"477","마포구",1990,3649.93548387097
"478","서대문구",1990,3383.3125
"479","서초구",1990,3132.66666666667
"480","성동구",1990,2791.76744186047
"481","성북구",1990,3641.21739130435
"482","송파구",1990,3246.36363636364
"483","양천구",1990,3578.95833333333
"484","용산구",1990,3042.96610169492
"485","은평구",1990,3666.32
"486","종로구",1990,2617.02702702703
"487","중구",1990,2875.76666666667
"488","중랑구",1990,3075.64516129032
"489","강남구",1991,3206.4
"490","강동구",1991,3103.86956521739
"491","강북구",1991,3128.04347826087
"492","강서구",1991,3566.83333333333
"493","관악구",1991,3072.83333333333
"494","광진구",1991,3294.5
"495","구로구",1991,3113.63636363636
"496","금천구",1991,3045.86363636364
"497","노원구",1991,3581.24
"498","도봉구",1991,3157.42857142857
"499","동대문구",1991,3512.2962962963
"500","동작구",1991,3560.83333333333
"501","마포구",1991,3329.23076923077
"502","서대문구",1991,3226.62068965517
"503","서초구",1991,2828.61538461538
"504","성동구",1991,2980.21052631579
"505","성북구",1991,3197.125
"506","송파구",1991,3031.30769230769
"507","양천구",1991,3314.26923076923
"508","용산구",1991,3067.65789473684
"509","은평구",1991,3333.75675675676
"510","종로구",1991,3561.05882352941
"511","중구",1991,2840.48148148148
"512","중랑구",1991,3057.34782608696
"513","강남구",1992,4890.77419354839
"514","강동구",1992,3929.47058823529
"515","강북구",1992,4494.5974025974
"516","강서구",1992,4697.87755102041
"517","관악구",1992,3932.70731707317
"518","광진구",1992,4639.05747126437
"519","구로구",1992,4709.8431372549
"520","금천구",1992,4394.63043478261
"521","노원구",1992,3527.82608695652
"522","도봉구",1992,4194.41666666667
"523","동대문구",1992,4925.65625
"524","동작구",1992,4425.37142857143
"525","마포구",1992,4591.58490566038
"526","서대문구",1992,4122.83333333333
"527","서초구",1992,4922.64102564103
"528","성동구",1992,4221.36842105263
"529","성북구",1992,4479.83050847458
"530","송파구",1992,4073.7
"531","양천구",1992,4647.71666666667
"532","용산구",1992,4546.87128712871
"533","은평구",1992,4433.92424242424
"534","종로구",1992,3331.87096774194
"535","중구",1992,3886.23880597015
"536","중랑구",1992,4920.23157894737
"537","강남구",1993,4469.17857142857
"538","강동구",1993,3888.47727272727
"539","강북구",1993,3382.44871794872
"540","강서구",1993,3951.7358490566
"541","관악구",1993,4233.61290322581
"542","광진구",1993,3272.69811320755
"543","구로구",1993,4119.5303030303
"544","금천구",1993,4134.08
"545","노원구",1993,3729.43548387097
"546","도봉구",1993,3497.22388059702
"547","동대문구",1993,3551.79245283019
"548","동작구",1993,3695.42857142857
"549","마포구",1993,4238.80952380952
"550","서대문구",1993,4419.27272727273
"551","서초구",1993,4078.28125
"552","성동구",1993,2971.02325581395
"553","성북구",1993,3480.68656716418
