"ÀÏ·Ã¹øÈ£","±¸ºÐÄÚµå","Áö¿ªÄÚµå","¾ð¾î","ÀÌ¸§","ÁÖ¼Ò","È¨ÆäÀÌÁö","ÀÌ¹ÌÁö¸í","ÀÌ¹ÌÁö°æ·Î","À§µµ","°æµµ","»ç¿ë¿©ºÎ"
"156","M006","H001","ENG","Traditional Wedding Wrapping Cloth","13 Gyedong 6-gil Jongno-gu","","SPM_1485995436530.jpg","/home/data/shp/place/","37.5827435","126.98713229999998","Y"
"161","M006","H001","ENG","Korean Traditional Music at ¡®Gugaksarang¡¯","5-12 Bukchon-ro 12-gil Jongno-gu","","SPM_1485998763673.jpg","/home/data/shp/place/","37.58227249999999","126.98548679999999","Y"
"432","M002","H001","JPN","«Ð«ó«Ö&#12540; «²«¹«È«Ï«¦«¹","ñ¤ÖØ&#21306; «±«É«ó2«®«ë 17-21","http://stay.visitseoul.net/jp/02_room_view.html?fmuid=303","SPM_1523522878740.jpg","/home/data/shp/place/","37.579688","126.987335","Y"
"433","M002","H006","JPN","«æ«¸«ó ùÛè©Ùþûù«»«ó«¿&#12540;","ñ¤ÖØ&#21306; «Ø«Õ«¡«í16«®«ë 28","http://stay.visitseoul.net/jp/02_room_view.html?fmuid=304","SPM_1523524459494.jpg","/home/data/shp/place/","37.590878","127.000523","Y"
"26","M002","H001","KOR","ÀÌ¿ô(Eoot)","Á¾·Î±¸ ºÏÃÌ·Î 12±æ 35-3","http://stay.visitseoul.net/ko/sub_view.html?fmuid=496&pcate=2&smarket[0]=22&sword=&pn=3","SPM_1483618783460.jpg","/home/data/shp/place/","37.5829268","126.9859285","N"
"10","M002","H002","KOR","½Ã¿ì","Á¾·Î±¸ ÀÚÇÏ¹®·Î 19±æ 16-5","http://stay.visitseoul.net/ko/02_room_view.html?fmuid=602&pcate=2&smarket[0]=&smarket[1]=&sword=%EC%8B%9C%EC%9A%B0&pn=1","SPM_1483617421578.jpg","/home/data/shp/place/","37.582706","126.96948410000005","N"
"15","M002","H002","KOR","¹ÙÀÎÇÏ¿ì½º","Á¾·Î±¸ ÀÚÇÏ¹®·Î 68-3","http://stay.visitseoul.net/ko/02_room_view.html?fmuid=592&pcate=2&smarket[0]=&smarket[1]=&sword=%EB%B0%94%EC%9D%B8%ED%95%98%EC%9A%B0%EC%8A%A4&pn=1","SPM_1483618043333.jpg","/home/data/shp/place/","37.5820781","126.9710427","N"
"23","M002","H005","KOR","ºñºö¹ä °Ô½ºÆ®ÇÏ¿ì½º","Á¾·Î±¸ ¼öÇ¥·Î28±æ 21-10","http://stay.visitseoul.net/ko/02_room_view.html?fmuid=522&pcate=2&smarket[0]=&smarket[1]=&sword=%EB%B9%84%EB%B9%94%EB%B0%A5%20%EA%B2%8C%EC%8A%A4%ED%8A","SPM_1483618581300.jpg","/home/data/shp/place/","37.5732771","126.9898574","N"
"37","M002","H002","KOR","¼ÒÇ³ °Ô½ºÆ®ÇÏ¿ì½º","Á¾·Î±¸ È¿ÀÚ·Î7±æ 10-4","http://stay.visitseoul.net/ko/02_room_view.html?fmuid=343&pcate=2&smarket[0]=&smarket[1]=&sword=%EC%86%8C%ED%92%8D%20%EA%B2%8C%EC%8A%A4%ED%8A%B8%ED%95","SPM_1483620242702.jpg","/home/data/shp/place/","37.5790314","126.97328549999997","N"
"7","M002","H001","KOR","À¯½É´ç","Á¾·Î±¸ °èµ¿±æ 92-3","http://stay.visitseoul.net/ko/02_room_view.html?fmuid=629&pcate=2&smarket[0]=&smarket[1]=&sword=%EC%9C%A0%EC%8B%AC%EB%8B%B9&pn=1","SPM_1483599370004.jpg","/home/data/shp/place/","37.58148","126.987021","N"
