"","aptnm","경도","위도","number_of_bus_station","bus_dis","number_of_health_ins","health_dis","number_of_library","library_dis","number_of_park","park_dis","number_of_subway","subway_dis"
"150","은평뉴타운엘크루",126.921209346327,37.6426883268634,31,6.43623435989367e-07,49,3.78091144485123e-06,3,5.9205954854756e-06,2,3.6055490689607e-05,3,4.23582055389905e-05
"151","동양1차",127.067695090086,37.592585958542,72,7.02322772030137e-07,101,6.133393406591e-07,1,5.76496339627432e-05,0,0.000141383897358468,3,2.97522089520865e-05
"152","현대5",126.900812746942,37.5296404475771,82,2.83772182135141e-07,173,4.86993623854842e-07,7,1.36710355597608e-05,0,0.000190273539213767,4,2.39139087773788e-05
"153","11650-4103",127.062170998757,37.4440189779747,12,1.98770741454293e-05,6,1.8622961854959e-05,0,0.000123457941184611,1,3.77520822737679e-05,0,0.00185323466702826
"154","창동2차현대",127.046089315065,37.6610336966577,74,9.91554766162553e-07,149,2.02537567224714e-06,10,1.5535043206425e-05,0,0.000162036522779199,3,4.4658440873298e-05
"155","두산",126.942894626699,37.4845267749186,99,2.11020799682565e-06,131,6.17934017055513e-07,7,8.17126588681428e-07,1,7.93102101651528e-05,1,5.36831413124945e-06
"156","남청파인힐",126.91600494024,37.5840304729144,115,1.85202366201687e-06,146,6.66950387387864e-06,11,1.72357549312235e-05,1,9.73539090151213e-05,2,4.35488060484142e-05
"157","서초포레스타6단지",127.05574623593,37.4500131157692,35,1.111422121606e-06,12,3.22537669593522e-06,1,5.65554018389716e-06,0,0.000122428086184255,0,0.0013809809541559
"158","성원상떼빌",127.065851927214,37.6603694861932,111,1.0110224748133e-07,268,6.30752536131791e-06,6,1.24532711172149e-06,0,0.000389387360610342,4,3.8520647022661e-05
"159","은평뉴타운상림마을(롯데캐슬A-12)",126.922606227427,37.6419845917915,33,7.89851691665962e-07,49,3.63435636744647e-07,4,5.47889056202706e-06,1,3.61005350925716e-05,1,4.30827979454817e-05
"160","엘에이치강남아이파크",127.101432102834,37.4746603609888,36,6.24455492827587e-07,18,1.10096167158135e-05,3,4.74238753591654e-06,0,0.000205980596234662,0,0.000156319846284542
"161","관악산벽산타운5",126.918442104095,37.4479160600139,38,1.76361338268998e-06,29,5.96518033638598e-06,2,1.80348828488594e-05,0,0.000209309698623915,0,0.000425426611521157
"162","길음뉴타운5단지(래미안)",127.020710239187,37.6096855257791,91,5.41485635981649e-07,124,1.97506831271823e-06,3,2.98409849596738e-05,0,0.000192593595499506,2,5.62254651272136e-05
"163","가우디트윈캐슬2",127.068382728879,37.5681962043015,60,5.00167632161433e-07,125,4.83257646680471e-06,0,0.000138525625341629,1,8.03693275468389e-05,1,6.12417374657442e-05
"164","FIRSTVIEW",127.015156537494,37.6476588032449,87,2.47831032959067e-06,55,6.89053986539158e-07,4,2.89913326846691e-05,1,3.43075371672505e-05,0,0.000199781681884254
"165","한마을",126.862501576596,37.4952644521652,65,1.61506748212591e-06,107,3.92286594744547e-08,2,4.54976977788799e-05,0,0.000188705447748756,2,1.63014866964014e-05
"166","월드메르디앙",127.073460788051,37.6130203926036,90,5.22526220771769e-07,120,6.26299378341152e-06,1,6.37089915250084e-05,0,0.000206715933137282,5,2.22692246624615e-05
"167","은평뉴타운상림마을(푸르지오C-6)",126.930330570768,37.6492243049648,23,6.37938602311602e-07,6,9.750066318837e-06,2,2.53365122030579e-05,0,0.00027238247932768,0,0.000276280764673768
"168","삼성래미안",127.030155293619,37.6009876756256,115,8.0874079923238e-07,132,3.66376808465741e-06,3,1.72663635758296e-05,1,4.31069694163968e-05,1,3.33342028782449e-05
"169","동익파크(355-95)",126.906783485647,37.6145898381894,58,1.3328899597021e-06,39,5.96156040211818e-06,5,6.7472559431854e-07,0,0.000133381551219099,0,0.00011944109711425
"170","유원도봉",127.050296120815,37.6818316372914,77,2.04860260696621e-07,66,4.28297018402744e-06,6,1.12537770788429e-06,1,6.56753670692365e-05,4,2.85169254570173e-05
"171","한솔솔파크",126.899432755484,37.4873873070059,98,1.43809624064917e-06,203,4.27941494917123e-06,3,3.00439441570451e-05,0,0.000286464755651663,3,9.1617999976505e-06
"172","마포자이2차",126.942013806591,37.5491854152852,119,6.31185312870726e-07,226,9.82332577848449e-07,3,4.45154880528101e-05,0,0.000175999673249422,4,2.35476065693912e-06
"173","삼익",127.100945930371,37.4891612481309,28,1.18265055697691e-06,29,2.00923765039865e-06,1,1.64247938935276e-05,1,7.80185502140144e-05,2,2.36515030681147e-06
"174","장미",126.81749374049,37.5742998188535,70,1.06047474979162e-06,83,1.39745975550363e-06,4,7.15307444334082e-06,2,3.75147998645128e-05,1,3.18149548677086e-05
"175","관악푸르지오",126.960864947013,37.4873112715491,77,3.01382557784719e-06,127,8.17563116396248e-10,7,2.55473836666794e-06,1,1.77350043501999e-05,0,0.000107312379309519
"176","은평뉴타운상림마을(현대아이파크B-14)",126.931075917531,37.6424032153905,36,7.29584316417644e-06,9,1.79419970724387e-05,3,3.53860753230368e-06,0,0.000169601159014661,0,0.000184220518060204
"177","신대방경남",126.908593434869,37.4894876099441,96,1.56873797517995e-06,164,8.23983507110606e-07,3,2.46506045636016e-05,0,0.000102100227779634,2,2.93121562363752e-05
"178","상계주공14(고층)",127.057453609395,37.6691340218574,69,5.59225643586398e-07,87,4.05756819357053e-06,4,4.05723060614017e-05,0,0.000508789329147157,2,1.57887144731581e-05
"179","청솔",126.812965285254,37.5756309765944,59,1.32948202442413e-06,74,6.35910913359613e-07,5,1.00116023391906e-05,3,2.80182099015329e-05,2,2.81895596198595e-06
"180","상계주공7(고층)",127.06230852474,37.6601571577107,111,4.01498618544894e-07,279,1.02635868312322e-06,6,5.46433530019618e-06,0,0.000291148726031591,3,2.51133373231181e-05
"181","대우푸르지오",126.926148375621,37.5974154551923,83,2.10313249941946e-06,108,1.28737068559412e-05,10,4.05320734714167e-06,1,9.53775937651054e-05,1,8.96151299871291e-05
"182","삼성동힐스테이트 1단지",127.048447159747,37.5163062400657,48,4.19052294635605e-06,294,4.61824196522849e-06,3,9.46104569703104e-06,2,4.12437419885599e-05,6,2.98513366075887e-05
"183","성호메이플라워멤버스빌",126.891373669998,37.4969004814267,99,1.33200497314362e-07,185,7.42964261403413e-07,7,3.16964306648271e-06,0,0.000632358015315764,2,3.34648285183865e-05
"184","한신휴플러스(1280-1)",126.889868169002,37.4878141452639,104,3.74574434162925e-07,177,9.36208521375272e-07,5,5.01643675997575e-07,0,0.000573112542717789,5,9.24123329026511e-06
"185","문정푸르지오",127.128105384944,37.4868780773275,75,1.94913253145943e-07,143,2.07032472706971e-06,1,4.21693687812835e-05,1,7.1291269606103e-07,3,3.53508239743491e-05
"186","장안현대홈타운(336)",127.074606226438,37.569725659288,75,1.50222581354485e-06,125,9.27284682927329e-08,1,3.1425730614044e-05,0,0.000171694517094865,0,0.000107449627924723
"187","쌍용",127.048043148301,37.6597477570553,67,1.11168180352185e-06,132,7.0852935799844e-07,11,2.58404516275761e-06,0,0.000136927812983823,3,4.32668109541312e-05
"188","주공5",126.84486883674,37.5604516606831,102,1.0684245801878e-06,150,7.34902559855463e-07,6,1.02325008848635e-05,1,3.9172319719316e-05,1,5.88224274184405e-05
"189","신내두산",127.088201260977,37.6160515822467,54,6.9584852701825e-07,39,7.77603291321708e-07,3,2.48263827825642e-06,1,4.659680351343e-05,2,1.03373762176724e-05
"190","주공아파트 5단지",127.09298211452,37.5143684588228,35,5.71601421913181e-06,209,2.84810436955727e-06,1,5.19610876536657e-05,1,8.35710553016591e-05,4,5.73990321116611e-05
"191","브라운스톤쌍문",127.029200092887,37.6473174834297,101,2.63915578127617e-06,133,4.20984904892554e-07,5,4.3125342106494e-06,1,3.82456055805311e-05,1,2.95651901733193e-05
"192","보람1단지",127.064948745871,37.6661826658174,88,1.52332979597428e-06,106,2.09236137477591e-06,6,4.03771156381959e-06,0,0.000548066178886472,2,5.90300087977974e-05
"193","광진트라팰리스",127.067948157119,37.5318922601242,40,1.34065178476072e-06,107,6.34531815329815e-07,5,7.70624080204539e-06,0,0.000351747860416978,3,2.04521832730363e-06
"194","대림e-편한세상",126.808182800069,37.5701011122966,64,1.02806156289138e-05,104,6.49296361678154e-06,3,6.40876112341728e-06,0,0.000129313395875178,4,8.47825451059493e-06
"195","벽산3",126.917763976913,37.4531329985761,48,2.70195928168426e-07,46,1.63536231415502e-05,5,1.55875344169263e-05,0,0.000228369127781636,0,0.000555396455086143
"196","목동신시가지4",126.871591433831,37.5319318273523,54,6.65119705793986e-07,223,6.41470118843148e-07,3,2.53237800910814e-06,1,3.23111643355614e-05,2,6.92580927833286e-05
"197","올림픽카운티",127.114485862279,37.5149227018459,45,4.15590832624089e-07,101,3.55017885773576e-07,0,0.000167212220741505,0,0.000107929768336475,3,1.06439853649077e-05
"198","관악산휴먼시아 2단지",126.920038790033,37.4591090840362,47,2.32437968311909e-06,16,1.67221039988059e-06,2,7.38180531907065e-06,0,0.000210990897545288,0,0.000671438598721523
"199","대림e-편한세상",127.02711847087,37.5579017106154,159,3.02844849773207e-06,193,1.96772091411572e-06,10,5.13124807631693e-06,1,2.9110189624534e-05,4,6.75730238654546e-06
"200","신내",127.08487405604,37.6164130659246,76,9.7596910018088e-07,90,9.84786792679213e-06,3,5.70610863579361e-06,1,8.94004648190471e-05,3,1.40205298826843e-05
"201","꿈의숲푸르지오",127.038993186153,37.6107702871516,130,2.05609966312272e-06,132,1.1151733765432e-05,3,3.80932376388617e-05,0,0.000160916399586639,2,8.15024240426937e-05
"202","꿈의숲푸르지오",127.038993186153,37.6107702871516,130,2.05609966312272e-06,132,1.1151733765432e-05,3,3.80932376388617e-05,0,0.000160916399586639,2,8.15024240426937e-05
"203","보람",126.831780032578,37.5533067656633,75,2.53695745147882e-06,138,1.95280909166819e-07,3,1.99271934788448e-06,0,0.000173760012902745,3,4.068355789703e-05
"204","마포중동현대",126.906884530156,37.5711389667522,80,2.69110915064447e-07,106,6.56382699793867e-06,5,1.0765737002382e-05,0,0.00018635897920065,5,6.42890027601172e-05
"205","삼익선경",127.077028750266,37.6390650104838,74,1.08443366931517e-06,40,3.66975547846163e-06,4,2.22175125956999e-05,0,0.000144011331213006,1,9.18548219363939e-05
"206","타워팰리스3",127.052829715042,37.4873363055886,63,4.25166300678838e-06,112,1.58816409463489e-06,3,5.04856630384656e-05,1,6.96352150342169e-05,5,1.85164372447373e-05
"207","천왕이펜하우스4단지",126.837972197254,37.4806068586758,47,6.66135962498107e-07,13,2.06514164957317e-06,0,0.000295026555348276,0,0.000181067183363902,1,3.65183345362403e-05
"208","현대2",126.882860836863,37.5204421670599,67,4.16527712151815e-06,107,4.09724532861155e-06,4,1.38182122946036e-05,0,0.000253001588834108,3,3.76156993379068e-05
"209","덕현중앙타워빌",126.83799562336,37.5527525144003,69,2.21206060696354e-06,144,1.5758162314632e-06,4,2.33347634140891e-05,1,5.01888958891149e-05,2,1.784682670711e-05
"210","세양청마루",127.065549232177,37.5736828896399,67,8.91400440850786e-07,180,3.6804601531082e-06,0,0.00019313024879948,2,1.03774245361462e-05,0,0.000149283229702016
"211","현대2",126.882860836863,37.5204421670599,67,4.16527712151815e-06,107,4.09724532861155e-06,4,1.38182122946036e-05,0,0.000253001588834108,3,3.76156993379068e-05
"212","벽산",127.100029125472,37.6031447617528,90,3.81799639165164e-06,131,3.61918409421943e-06,1,1.54465086550665e-05,1,8.94916620400753e-05,1,7.43360672627821e-05
"213","관악산벽산타운5",126.918442104095,37.4479160600139,38,1.76361338268998e-06,29,5.96518033638598e-06,2,1.80348828488594e-05,0,0.000209309698623915,0,0.000425426611521157
"214","우방2",127.051841904023,37.5484499945307,56,7.11292490177028e-06,63,6.05988956570106e-06,5,1.16391428227273e-05,1,1.35315912426938e-05,3,2.18069942226651e-05
"215","남서울힐스테이트",126.900966570969,37.4477871989419,72,3.94988351876416e-06,111,2.74647184322417e-06,8,1.679931478793e-05,1,1.0126956934641e-05,0,0.000107424002951406
"216","코업스타클래스",127.04044516674,37.6018209875066,76,9.2548853853659e-07,92,3.91451921271199e-10,3,1.14276604666994e-05,0,0.000113868717073107,2,1.01907343880672e-06
"217","방이금호어울림",127.118251531872,37.5125204304047,45,1.43188445465099e-06,130,8.10750479126533e-07,0,0.000108370577193241,1,9.29484095109606e-05,4,1.88829265767902e-05
"218","래미안이문2차",127.060218054769,37.5935265008564,58,3.82922911358761e-06,91,1.97028744662053e-06,0,0.000217522346557228,0,0.000154768135909294,2,1.81684743570112e-05
"219","유한오크팰리스",126.819849279989,37.4854724565808,42,3.44657600567656e-06,6,4.96801053258681e-05,0,0.000277457373908856,1,2.37849574735548e-05,3,5.87663324318066e-05
"220","성산월드타운대림",126.908243398976,37.569343987133,80,1.82835371867854e-06,107,1.12662805597171e-06,5,1.07397716973268e-06,0,0.000217403825091041,3,4.40656094090097e-05
"221","목동신시가지3",126.872949042002,37.534359239478,53,3.91376350379172e-06,158,1.50608847253979e-06,4,1.14373553069016e-05,1,1.22400318724185e-05,0,0.000104310584637747
"222","가양2단지(성지)",126.847174411361,37.5704957193283,49,1.27343710608776e-06,63,8.45927548377176e-09,4,7.1111855518865e-06,2,3.65426408896925e-05,0,0.000238732524141568
"223","한신동성",127.075557282958,37.6398090940931,85,3.26992442059722e-07,46,7.00570049347475e-07,4,9.55579645671776e-06,0,0.000162961321603383,1,7.13839336842843e-05
"224","관악푸르지오",126.960864947013,37.4873112715491,77,3.01382557784719e-06,127,8.17563116396248e-10,7,2.55473836666794e-06,1,1.77350043501999e-05,0,0.000107312379309519
"225","상계주공7(고층)",127.06230852474,37.6601571577107,111,4.01498618544894e-07,279,1.02635868312322e-06,6,5.46433530019618e-06,0,0.000291148726031591,3,2.51133373231181e-05
"226","래미안세레니티",127.031050089448,37.5992448373509,107,1.22483022372863e-06,115,6.09656502995836e-06,2,1.74484089355763e-05,1,4.03086848406564e-05,1,5.52546116831731e-05
"227","상암월드컵파크4단지",126.888688773185,37.5776864156328,67,1.17763510427024e-06,55,1.51375739531463e-06,0,0.000115218548306409,2,1.05789222968092e-05,1,5.89311627244959e-05
"228","서초포레스타3단지",127.058783958518,37.4547927807654,34,5.08487617489064e-07,12,5.01251516137418e-06,1,2.66340238552307e-05,0,0.000105403600741445,0,0.00103684598232031
"229","부영",126.843641011129,37.5635578457422,94,1.1906809143552e-06,134,6.64466719461327e-09,6,2.81646409380629e-06,1,8.93632421420121e-05,1,6.39997954576215e-05
"230","은평뉴타운 기자촌11단지",126.934653753628,37.6363231544427,17,1.83662996952839e-07,0,0.000103937248206169,5,3.16243089475955e-06,0,0.00016020473083715,0,0.000251980726003938
"231","삼성",127.046324549162,37.488629639007,68,7.59633089147672e-06,143,2.23102377847939e-06,3,2.40825933441482e-05,1,4.49872770533499e-06,3,3.32355405652489e-06
"232","한강쌍용",126.953068073811,37.5122226914266,77,1.810011196129e-07,51,6.31854637886702e-09,1,5.51654784376245e-05,1,2.18402205212388e-05,0,0.000116173181612353
"233","태솔아파트2차",127.070785744701,37.5689663103654,66,1.01917511073136e-06,132,3.52088150780989e-06,1,8.74616361997798e-05,0,0.000103665493441681,1,9.75811257837067e-05
"234","타워팰리스3",127.052829715042,37.4873363055886,63,4.25166300678838e-06,112,1.58816409463489e-06,3,5.04856630384656e-05,1,6.96352150342169e-05,5,1.85164372447373e-05
"235","경남아너스빌",126.871496196265,37.5181333331182,67,8.76168090274531e-07,124,5.69370750718792e-07,3,1.99426305186795e-06,0,0.000105099474394415,2,5.15357522339277e-05
"236","한인트윈빌",126.930629046545,37.5767961643514,93,1.01716021026052e-07,57,3.66388952788934e-07,4,2.33821649183435e-05,1,7.97020835723636e-05,0,0.000316259329166492
"237","현대8차(성수현대:91~95동)",127.035439289396,37.5312147011021,23,3.68783208291428e-06,392,2.5932367455331e-07,0,0.0001402943522982,1,4.29329200656078e-05,2,4.08371055153173e-05
"238","대림e-편한세상",127.064973013617,37.6045229147922,52,5.89214059599181e-06,86,1.11269961570313e-06,1,8.04863904908316e-05,0,0.000198395776908827,2,1.2892988254245e-05
"239","거성파스텔",126.891879015082,37.5314993906787,70,7.90336425925902e-07,112,2.1588331573462e-05,4,4.47528939318516e-06,0,0.000210297119969278,3,5.47103785441409e-05
"240","강남엘에이치1단지",127.10286961908,37.4667907761882,49,1.38059100067436e-06,26,3.76973564529672e-06,4,2.14388153289619e-05,0,0.000192615031129895,0,0.000416743468912504
"241","홍릉동부",127.046191864357,37.5861309914234,75,9.15613969551704e-07,118,4.53596594448837e-06,0,0.000286879751384598,0,0.000173222149546529,2,3.1330712063099e-05
"242","인택스파크뷰",127.130619629848,37.5237641687557,44,2.70970316757597e-06,119,2.31047851556735e-07,1,8.98216386462636e-05,1,6.6695104853879e-05,3,4.80861939629723e-05
"243","꿈의숲대명루첸아파트",127.047001861835,37.6205468770084,129,8.46073046092402e-07,44,5.85790605166146e-06,1,2.30394975234159e-05,1,4.70574960424044e-05,0,0.000189617012269888
"244","관악산벽산타운5",126.918442104095,37.4479160600139,38,1.76361338268998e-06,29,5.96518033638598e-06,2,1.80348828488594e-05,0,0.000209309698623915,0,0.000425426611521157
"245","도곡렉슬",127.050547158351,37.4935418220116,61,5.9039900166788e-06,211,7.8727233148512e-06,3,2.20869425644955e-05,1,4.08243492723165e-05,4,1.2564661275043e-05
"246","송파파인타운10단지",127.130519946276,37.4776233414919,66,9.27256780450587e-07,43,9.74989484400239e-06,1,1.03017967460909e-05,1,8.24590221899734e-05,3,2.05539167301278e-05
"247","청솔",126.812965285254,37.5756309765944,59,1.32948202442413e-06,74,6.35910913359613e-07,5,1.00116023391906e-05,3,2.80182099015329e-05,2,2.81895596198595e-06
"248","공릉 해링턴플레이스",127.086908237543,37.627737624921,46,3.28033604697836e-06,35,4.53363307410554e-06,2,5.35467204574109e-05,0,0.000109142854589327,1,6.4026193598164e-05
"249","덕현해밀",127.053149788091,37.5646311457744,60,1.86358571723353e-06,90,4.14963153886755e-07,4,5.92308196838632e-06,1,9.25423639002993e-05,3,5.63684665503444e-06
"250","에이아이디차관주택",126.991233553078,37.5006735958643,60,3.41536270571224e-06,81,1.50438952431511e-09,0,0.000291945145818194,0,0.000308613750390091,0,0.000154543648851993
"251","무궁화",126.914805544387,37.6048703558046,114,9.83500574159838e-07,178,5.99835939206906e-07,12,4.09540018334211e-07,0,0.000164229321181316,3,4.06940461530564e-05
"252","종암에스케이",127.036988885164,37.6011857517073,93,1.09261116811412e-06,97,2.7034897109937e-07,3,7.74288564546543e-06,0,0.000158141082272539,1,2.04446899471703e-05
"253","삼익",127.100945930371,37.4891612481309,28,1.18265055697691e-06,29,2.00923765039865e-06,1,1.64247938935276e-05,1,7.80185502140144e-05,2,2.36515030681147e-06
"254","아이파크",126.872160531588,37.5216476033758,63,1.84248089686241e-06,154,1.96680861090626e-06,3,8.56098436724426e-06,0,0.000191054197076388,2,1.57869236030465e-05
"255","풍림2",126.943080365457,37.593375689781,96,1.51264403520224e-06,117,1.21039779312565e-06,4,7.00679770583256e-07,0,0.000200059373851359,1,2.47196925462184e-05
"256","정릉힐스테이트",127.015555006077,37.6028250097742,129,7.48525731059717e-07,163,2.04729462074691e-07,4,1.02940707139008e-05,0,0.000122761076435604,1,8.89417617771458e-05
"257","상암월드컵파크2단지",126.891577074081,37.5748398903005,64,1.19910368309611e-06,56,3.13766086095978e-06,0,0.000123281107386979,2,1.25268473112904e-05,4,5.30237526456018e-05
"258","가락(1차)쌍용아파트",127.128117809357,37.4955429569204,72,3.40888939449369e-06,141,2.47001407719573e-07,2,6.40562248470021e-05,2,8.72867859594804e-05,4,1.46281991687287e-05
"259","마곡삼성아파트",126.822174479428,37.5721265574081,60,1.2405643939176e-06,40,2.82910962730907e-06,2,8.51458137625724e-06,0,0.000106333924721818,0,0.000116215935234359
"260","신동아",126.987501145071,37.5180979697285,23,4.53933578196883e-06,6,5.91036573454263e-06,1,5.67892692534087e-05,1,3.43973986750294e-05,1,3.02043591130124e-06
"261","동아그린",127.048016199008,37.5509020576675,63,1.96719726197992e-06,45,1.22895421201302e-06,4,3.10982501585015e-05,2,5.62974577886389e-05,3,1.47102083443881e-05
"262","백련산힐스테이트3차",126.924098065224,37.5879819422276,100,1.46113842067456e-06,77,7.02075209962393e-07,5,2.35995989878507e-05,1,2.04119824579566e-05,0,0.000118024393193618
"263","에이아이디차관주택",126.991233553078,37.5006735958643,60,3.41536270571224e-06,81,1.50438952431511e-09,0,0.000291945145818194,0,0.000308613750390091,0,0.000154543648851993
"264","수락한신",127.060133723949,37.6738366111389,54,6.6461307167392e-07,92,1.52398429898903e-05,2,6.38547382977285e-05,0,0.000396747434360372,2,4.06420156859194e-05
"265","현대그린",127.05035766918,37.5407234873627,69,4.50418973642153e-07,80,7.00362079265032e-06,5,2.17645493572709e-06,2,2.09160813961135e-05,3,4.07147574278671e-05
"266","새티스",127.024016116971,37.4846665281542,70,5.39174344378068e-06,132,4.59906134681857e-06,1,5.56162822938918e-05,0,0.000302244775689572,1,6.12762619905043e-05
"267","반포자이",127.011034636758,37.5063518132638,61,1.58254892597232e-06,167,1.92210533234156e-06,2,1.71754671748007e-05,0,0.000911504762469421,4,3.69164865446914e-06
"268","우성3",126.908923918028,37.4971496670179,108,4.46874666551347e-07,140,2.06215382921261e-08,3,1.23626684110249e-05,0,0.000110905041503719,1,9.51667042780951e-06
"269","삼성월드타워",127.044098015964,37.5174334774237,54,1.58522272384873e-06,408,8.18371128284066e-07,4,8.26529340060392e-06,1,8.49567117543619e-05,6,8.0377895760888e-06
"270","서울숲 한신 더 휴",127.036079977869,37.5549200740591,117,1.30014045833337e-07,122,1.60195262130236e-06,5,1.04243933370506e-05,0,0.000173082032183884,6,2.17113140192441e-05
"271","신도신월1차",126.846439281936,37.5180484528284,66,9.24998110427261e-06,122,5.08011968922347e-06,6,4.22787487855471e-05,1,2.00721239481567e-05,1,4.55191582949791e-05
"272","벽산",127.072881636874,37.6614531070852,77,6.75215235439291e-07,90,1.21195568924558e-06,7,1.46854225784666e-05,0,0.000506224534837146,1,3.61494452403062e-07
"273","삼성월드타워",127.044098015964,37.5174334774237,54,1.58522272384873e-06,408,8.18371128284066e-07,4,8.26529340060392e-06,1,8.49567117543619e-05,6,8.0377895760888e-06
"274","한일유앤아이",126.851154956339,37.5079923546198,103,1.42712460395747e-06,63,8.12065613385537e-06,3,1.05953884763948e-05,2,1.46639854637426e-05,0,0.000147148922820392
"275","대림e-편한세상",127.02711847087,37.5579017106154,159,3.02844849773207e-06,193,1.96772091411572e-06,10,5.13124807631693e-06,1,2.9110189624534e-05,4,6.75730238654546e-06
"276","온수동",126.818558453638,37.4958230445249,22,1.43848612253491e-05,6,1.63487392263825e-05,0,0.000155717545486134,0,0.000194064718605492,2,3.60763417456392e-05
"277","상암월드컵파크4단지",126.888688773185,37.5776864156328,67,1.17763510427024e-06,55,1.51375739531463e-06,0,0.000115218548306409,2,1.05789222968092e-05,1,5.89311627244959e-05
"278","벽산",127.072881636874,37.6614531070852,77,6.75215235439291e-07,90,1.21195568924558e-06,7,1.46854225784666e-05,0,0.000506224534837146,1,3.61494452403062e-07
"279","상계주공13(고층)",127.062259494942,37.6676719950496,82,4.7148991496512e-07,81,1.02953187353715e-05,5,1.23598239507549e-05,0,0.000538416730783734,1,3.05618744717897e-05
"280","강남데시앙파크",127.101185384316,37.4602885503743,32,1.39157855359357e-06,17,5.3646020137085e-06,1,2.97144254154518e-06,0,0.00035265288481613,0,0.000722348072133703
"281","신도림롯데아파트",126.88421007151,37.5034982286456,90,6.8733105507881e-07,132,1.0155767649387e-06,4,3.14243945848921e-05,0,0.000256170146350559,4,4.82478617303817e-06
"282","래미안서초4차",127.010952227734,37.4810726256101,66,2.00343243673509e-06,90,6.78325839441078e-06,0,0.000126777176288544,0,0.000115430765292381,1,4.15103755523789e-05
"283","트라움하우스2",127.002276288575,37.4857770973028,81,3.10530493578543e-06,117,1.06299481266655e-05,2,3.2150547152222e-05,0,0.000280885088984912,3,4.15547465437679e-05
"284","상계주공14(고층)",127.057453609395,37.6691340218574,69,5.59225643586398e-07,87,4.05756819357053e-06,4,4.05723060614017e-05,0,0.000508789329147157,2,1.57887144731581e-05
"285","엘에이치강남아이파크",127.101432102834,37.4746603609888,36,6.24455492827587e-07,18,1.10096167158135e-05,3,4.74238753591654e-06,0,0.000205980596234662,0,0.000156319846284542
"286","홍은센트레빌",126.937790082266,37.5972190820679,58,1.51951646418345e-06,55,4.04796465799044e-06,5,6.44431107644701e-06,0,0.000169779611985894,1,1.73714213888866e-05
"287","동아빌라(188-72)",126.934234604597,37.5957610625951,63,2.37891411672903e-07,38,2.52784569867724e-05,6,2.12935977765529e-05,1,9.23286004938816e-05,1,2.82562699161278e-05
"288","위례24단지(꿈에그린)",127.139306701251,37.4758879665566,40,3.12899620749702e-06,9,1.00657186982836e-05,2,2.94639384185305e-05,0,0.000244130976916886,0,0.000181961306852078
"289","파크리오",127.10615089337,37.5205366173754,35,2.64833523853352e-06,118,2.06675103723206e-06,1,1.34802199065563e-05,0,0.000246697233572968,4,6.01828910238362e-06
"290","서울숲푸르지오",127.022319305844,37.5449832114937,108,2.37997855643156e-06,93,6.57068026873035e-06,6,4.78650514702088e-06,2,3.25494749312649e-06,4,3.29985761322883e-05
"291","휘경 제이스카이 아파트",127.057590131027,37.5890415927469,60,4.5515116228621e-07,84,1.11921550599864e-06,0,0.000302182619966508,0,0.00010417689636808,2,6.97844537045824e-07
"292","에스케이북한산시티",127.01263074872,37.6179760334621,113,4.89042952717731e-06,108,2.18772225689963e-07,4,6.2814838031341e-06,0,0.000179924261737317,0,0.000248066931541179
"293","보람1단지",127.064948745871,37.6661826658174,88,1.52332979597428e-06,106,2.09236137477591e-06,6,4.03771156381959e-06,0,0.000548066178886472,2,5.90300087977974e-05
"294","잠실 푸르지오 월드마크",127.10357764333,37.5174387314714,35,1.56022166315549e-06,126,1.19237237395682e-08,1,2.4894414088595e-05,0,0.000138226004183126,4,9.68246187629626e-06
"295","장미(시영6)",127.067865375948,37.6337021175518,102,1.34325985012224e-06,95,3.36727273439796e-06,6,2.75764708615036e-06,0,0.000118138392628589,3,7.42682372531014e-06
"296","쌍용",127.068513545003,37.5997835954564,62,1.18336234720261e-06,87,1.10859552250175e-06,1,6.35355995806222e-05,0,0.000307663626817386,3,5.54450699101377e-06
"297","신반포16",127.00959872159,37.5168904458979,30,2.5244735338654e-07,108,1.54718497668569e-06,1,2.23820807071817e-05,0,0.000707331973134635,2,1.91962818804623e-05
"298","강변힐스테이트",126.933280962995,37.5433308883332,77,4.52248951166214e-06,53,4.21697084940686e-06,2,2.09070135814361e-05,1,8.89231986375293e-05,3,1.92714800442976e-05
"299","마곡엠밸리3단지",126.820143984036,37.568100992565,82,5.25424155245344e-07,76,3.36486877106138e-06,2,1.45868698427662e-05,0,0.00016506587614676,1,8.3934745713724e-05
"300","대우",127.01982172766,37.5459699809305,125,8.93265759561105e-08,104,1.29381423815208e-06,7,9.41777169575332e-08,2,7.70329338239088e-06,4,2.14447684386687e-05
"301","삼성",127.090677682629,37.4848961854277,42,3.63582179680196e-07,31,1.36995754579019e-05,3,1.99190448074052e-05,1,1.21808766683222e-05,1,4.16456106768341e-05
"302","공릉 해링턴플레이스",127.086908237543,37.627737624921,46,3.28033604697836e-06,35,4.53363307410554e-06,2,5.35467204574109e-05,0,0.000109142854589327,1,6.4026193598164e-05
"303","동아불암",127.079688357716,37.6669567609885,24,1.24385915920284e-06,50,5.33228137837876e-08,3,4.8025377325246e-05,0,0.00025362151853892,2,1.18869652530716e-05
"304","해모로",126.929685980593,37.5462729070766,101,3.78178314238834e-07,59,8.3977032696985e-07,2,7.77478919429101e-06,1,3.02570712630063e-05,3,5.97670848754608e-06
